Area_Name,Year,Cases_Property_Stolen,Victims_Total,Total_Cases_for_Trial,Unnamed: 3
Haryana,2001,3098,818,0,0.0
Haryana,2001,3098,818,0,0.0
Haryana,2001,3098,818,9980,
Himachal Pradesh,2001,812,39,494,
Himachal Pradesh,2001,812,39,201,
Himachal Pradesh,2001,812,39,30,
Himachal Pradesh,2001,812,39,1301,
Himachal Pradesh,2001,812,39,92,
Himachal Pradesh,2001,812,39,1163,
Himachal Pradesh,2001,812,39,0,
Himachal Pradesh,2001,812,39,0,2.0
Himachal Pradesh,2001,812,39,0,0.0
Himachal Pradesh,2001,812,39,0,0.0
Himachal Pradesh,2001,812,39,0,0.0
Himachal Pradesh,2001,812,39,3301,
Himachal Pradesh,2001,812,83,494,
Himachal Pradesh,2001,812,83,201,
Himachal Pradesh,2001,812,83,30,
Himachal Pradesh,2001,812,83,1301,
Himachal Pradesh,2001,812,83,92,
Himachal Pradesh,2001,812,83,1163,
Himachal Pradesh,2001,812,83,0,
Himachal Pradesh,2001,812,83,0,2.0
Himachal Pradesh,2001,812,83,0,0.0
Himachal Pradesh,2001,812,83,0,0.0
Himachal Pradesh,2001,812,83,0,0.0
Himachal Pradesh,2001,812,83,3301,
Himachal Pradesh,2001,812,122,494,
Himachal Pradesh,2001,812,122,201,
Himachal Pradesh,2001,812,122,30,
Himachal Pradesh,2001,812,122,1301,
Himachal Pradesh,2001,812,122,92,
Himachal Pradesh,2001,812,122,1163,
Himachal Pradesh,2001,812,122,0,
Himachal Pradesh,2001,812,122,0,2.0
Himachal Pradesh,2001,812,122,0,0.0
Himachal Pradesh,2001,812,122,0,0.0
Himachal Pradesh,2001,812,122,0,0.0
Himachal Pradesh,2001,812,122,3301,
Jammu & Kashmir,2001,1345,187,680,
Jammu & Kashmir,2001,1345,187,2362,
Jammu & Kashmir,2001,1345,187,23,
Jammu & Kashmir,2001,1345,187,1718,
Jammu & Kashmir,2001,1345,187,875,
Jammu & Kashmir,2001,1345,187,101,
Jammu & Kashmir,2001,1345,187,0,
Jammu & Kashmir,2001,1345,187,0,10.0
Jammu & Kashmir,2001,1345,187,0,0.0
Jammu & Kashmir,2001,1345,187,0,0.0
Jammu & Kashmir,2001,1345,187,0,0.0
Jammu & Kashmir,2001,1345,187,5782,
Jammu & Kashmir,2001,1345,1225,680,
Jammu & Kashmir,2001,1345,1225,2362,
Jammu & Kashmir,2001,1345,1225,23,
Jammu & Kashmir,2001,1345,1225,1718,
Jammu & Kashmir,2001,1345,1225,875,
Jammu & Kashmir,2001,1345,1225,101,
Jammu & Kashmir,2001,1345,1225,0,
Jammu & Kashmir,2001,1345,1225,0,10.0
Jammu & Kashmir,2001,1345,1225,0,0.0
Jammu & Kashmir,2001,1345,1225,0,0.0
Jammu & Kashmir,2001,1345,1225,0,0.0
Jammu & Kashmir,2001,1345,1225,5782,
Jammu & Kashmir,2001,1345,1412,680,
Jammu & Kashmir,2001,1345,1412,2362,
Jammu & Kashmir,2001,1345,1412,23,
Jammu & Kashmir,2001,1345,1412,1718,
Jammu & Kashmir,2001,1345,1412,875,
Jammu & Kashmir,2001,1345,1412,101,
